Instances,,,CAmpactor (delta=5),,,,CAmpactor (delta=10),,,,CAmpactor (delta=15),,,,CAmpactor (delta=20),,,,CAmpactor (delta=25),,,,CAmpactor (delta=30),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,14,14.9,0.8120,,17,17.0,0.7420,,20,20.0,0.7000,,23,23.9,0.6310,,18,19.5,0.8740,,20,20.0,0.7030
XSEngine,,47,49.3,334.4920,,48,49.7,277.4590,,49,51.0,226.0870,,48,51.7,217.3470,,53,54.1,185.7690,,54,55.9,188.3180
aaed2000,,66,68.0,415.1110,,62,65.8,485.1290,,65,67.4,403.6610,,67,70.0,366.3330,,69,72.3,329.6960,,70,72.6,334.6370
adder,,48,49.7,299.4740,,48,49.4,196.0130,,48,50.1,237.9340,,50,52.1,214.4960,,52,53.8,215.7740,,53,56.4,187.2140
adderII,,48,49.7,240.9700,,47,49.2,304.2380,,48,50.2,255.4920,,50,52.6,211.9690,,53,54.8,179.5440,,54,56.2,212.0110
aeb,,45,46.5,240.1640,,44,46.4,243.9680,,46,47.8,216.6060,,47,48.8,208.3000,,50,51.1,193.8610,,51,53.2,193.8530
aim711,,46,49.4,296.0340,,47,49.1,217.3000,,47,49.6,304.5340,,49,51.2,225.6270,,52,53.9,219.1690,,54,56.4,191.2750
aki3068net,,46,49.6,283.0590,,47,48.5,235.3100,,48,49.4,252.6560,,50,51.5,220.3970,,51,53.6,175.9430,,54,56.5,132.5290
am31_sim,,43,45.2,205.9700,,43,44.6,218.5830,,43,46.4,172.4090,,47,47.7,175.6670,,47,49.8,119.1790,,49,52.4,132.5340
asb,,43,45.8,255.8260,,45,46.0,177.1670,,45,46.5,177.6430,,46,47.6,204.3990,,48,50.1,178.2190,,51,52.9,163.9760
asb2305,,44,46.0,220.0320,,44,45.8,247.5490,,45,47.0,205.1960,,46,48.3,191.9310,,49,50.8,161.1650,,51,53.0,140.6510
assabet,,44,46.1,288.1880,,44,46.3,264.5110,,45,47.3,232.4920,,47,48.9,219.3250,,50,50.7,210.0340,,51,52.5,197.3690
at91sam7sek,,44,46.8,273.7420,,44,45.5,241.3610,,45,46.6,246.6710,,48,49.3,196.9440,,49,51.1,190.3610,,52,53.0,175.2810
at91sam7xek,,48,50.2,301.7700,,46,49.0,312.2280,,49,50.7,268.5620,,48,51.9,253.3260,,52,53.3,264.6950,,54,56.2,179.8630
atlas_mips32_4kc,,47,48.9,261.0550,,47,49.6,207.9970,,49,50.3,239.7210,,49,51.4,224.4580,,52,53.6,188.0690,,54,56.6,152.0060
atlas_mips64_5kc,,46,48.6,286.8140,,48,50.2,174.7430,,48,49.9,247.1240,,50,51.3,215.2820,,53,54.0,201.9840,,55,56.1,177.3520
axtls,,27,27.0,0.2020,,27,27.1,0.2440,,27,28.0,0.5200,,30,30.1,0.2330,,30,31.1,0.0800,,27,29.0,0.3840
brutus,,43,45.3,244.3640,,43,45.2,233.1280,,45,46.4,183.8110,,47,47.9,184.7560,,48,50.3,152.0940,,50,52.5,152.1260
buildroot,,15,15.0,2.6990,,16,16.0,2.6260,,19,19.8,2.2570,,23,24.7,2.0710,,18,19.0,2.3730,,19,19.7,2.2310
busybox_1_28_0,,23,24.2,60.1650,,24,24.7,64.3160,,26,26.8,48.2950,,29,30.5,46.2210,,34,34.8,38.4660,,38,38.7,29.7090
calm16_ceb,,42,44.8,241.6920,,43,45.2,215.7040,,45,46.1,180.3840,,46,48.0,192.0260,,48,51.0,131.1970,,52,53.2,137.2750
calm32_ceb,,42,45.4,220.7960,,44,45.5,196.4030,,44,46.2,202.0390,,47,48.1,184.7760,,48,50.0,160.2220,,51,53.2,122.5160
ceb_v850,,44,46.0,204.0540,,44,46.0,190.2020,,43,46.8,192.3880,,45,48.1,154.5950,,48,49.8,167.2610,,52,53.5,126.3240
cerf,,49,50.6,305.8490,,47,50.7,280.9230,,50,51.2,268.4130,,51,53.0,236.4220,,52,54.7,206.1810,,54,57.2,186.8150
cerfpda,,48,50.1,308.9440,,47,50.7,255.7110,,49,51.2,251.3970,,50,52.7,242.7230,,52,54.3,231.8370,,55,56.7,229.4370
cma230,,44,45.5,230.3610,,42,44.8,273.2010,,45,46.5,214.4150,,46,47.9,197.3090,,49,50.9,148.8370,,51,52.5,154.1840
cma28x,,44,45.3,235.3650,,43,45.5,222.3280,,45,46.1,174.3410,,44,47.1,206.2580,,48,50.2,130.1230,,50,51.9,171.6200
cme555,,44,45.3,262.1380,,44,46.2,223.8710,,45,46.8,194.6780,,47,48.3,184.8240,,48,50.5,174.9280,,51,53.1,156.3830
cq7708,,54,58.6,302.3800,,54,58.0,341.0840,,55,57.5,329.4950,,57,58.7,304.7880,,59,61.5,225.8360,,61,62.7,283.1770
cq7750,,45,47.3,263.1850,,44,46.6,241.9970,,46,48.1,248.8400,,48,49.2,229.4500,,49,52.5,175.0400,,51,53.8,184.5970
csb281,,51,53.1,238.2260,,52,53.4,283.4080,,52,54.0,213.4790,,52,54.8,197.3910,,55,57.1,197.8490,,56,58.5,217.1410
dreamcast,,50,51.9,312.9500,,50,53.2,273.9140,,53,54.3,280.1080,,54,55.5,210.3570,,54,55.9,256.4110,,55,58.9,230.3860
e7t,,47,49.6,256.4560,,48,50.1,247.0220,,48,50.0,236.5540,,49,51.8,221.4910,,51,53.0,214.0360,,54,55.9,172.0550
ea2468,,48,49.8,318.7560,,47,49.2,313.5180,,48,50.3,319.0070,,50,51.9,270.4040,,52,53.1,290.5610,,54,56.1,249.5660
eb40,,44,45.5,274.3980,,44,46.0,242.0950,,44,46.4,208.6580,,47,48.5,182.7280,,49,50.7,159.5490,,52,54.1,131.2890
eb40a,,45,46.7,248.6420,,45,46.4,226.7000,,44,46.8,215.2800,,48,49.1,192.3530,,49,51.0,173.2330,,50,52.8,159.2420
eb42,,45,46.0,215.3470,,44,45.4,282.7950,,46,47.4,211.4950,,47,48.3,201.0970,,49,50.0,184.8560,,52,53.1,162.9790
eb55,,45,45.9,310.1330,,44,45.3,261.9990,,45,46.9,215.2060,,47,48.3,213.9380,,49,51.2,198.3760,,52,53.2,185.7290
ebsa285,,50,54.6,299.0860,,51,53.3,321.0250,,52,54.6,244.7830,,53,55.8,251.2290,,56,57.8,228.5260,,58,60.4,193.1080
ec555,,45,46.8,232.7280,,42,45.2,224.0940,,45,47.0,200.0180,,47,48.3,192.3190,,48,50.2,170.6250,,52,53.3,167.9540
ecos-icse11,,46,49.6,244.9440,,47,48.7,242.8210,,47,50.2,217.9540,,50,51.5,221.3680,,51,53.5,170.9290,,53,55.3,187.2190
edb7xxx,,47,49.3,331.2830,,48,50.4,266.5050,,48,50.7,227.3960,,49,51.7,226.6870,,50,54.2,183.7300,,54,56.6,178.8990
edosk2674,,47,49.7,200.1270,,46,48.9,224.4370,,48,49.9,201.7290,,49,51.4,191.1310,,52,53.6,174.3580,,54,55.7,140.2750
excalibur_arm9,,57,59.6,326.3610,,56,57.5,378.2180,,57,58.9,292.4130,,57,58.9,315.8310,,60,61.6,271.4390,,62,64.4,265.4580
fads,,43,45.7,217.6450,,42,45.0,215.9850,,44,46.2,198.2200,,46,47.7,171.8700,,49,49.9,149.5940,,51,52.5,153.4310
flexanet,,47,50.5,330.1700,,49,50.4,280.5210,,48,50.5,289.3840,,51,53.0,214.2400,,52,54.4,221.4930,,55,56.8,199.5080
freebsd-icse11,,50,54.3,365.0750,,53,56.2,354.4020,,52,55.7,340.9400,,54,55.8,328.9120,,55,57.9,254.4870,,56,59.4,260.6480
frv400,,47,49.2,254.8580,,47,48.9,203.5680,,48,49.5,258.9440,,49,50.9,244.7120,,51,52.9,203.6320,,54,55.5,182.1790
gps4020,,44,45.6,256.7230,,44,46.3,222.0880,,45,47.0,196.4190,,47,48.3,184.5670,,48,50.6,165.0540,,51,52.9,153.7280
grg,,47,49.4,265.1560,,47,49.0,236.8630,,48,50.7,218.7410,,49,50.8,238.7560,,52,54.1,168.5270,,55,56.4,135.1010
h8300h_sim,,44,45.6,206.1590,,43,44.6,203.3320,,45,46.0,220.9990,,46,48.3,159.5950,,46,49.6,146.2340,,50,52.3,141.6270
h8max,,47,49.5,254.4120,,48,49.8,228.8210,,47,49.9,222.9750,,50,51.1,227.5910,,52,53.7,195.7610,,53,55.6,181.5770
h8s_sim,,43,44.1,261.7080,,44,45.4,212.5320,,44,45.6,197.4890,,46,47.8,165.8710,,47,50.2,151.3050,,50,51.8,129.8770
hs7729pci,,63,65.4,416.3860,,62,64.4,439.1580,,63,65.7,361.2600,,64,67.6,370.2570,,65,68.6,408.0890,,68,70.4,410.0220
innovator,,62,69.1,303.1810,,64,67.3,413.5840,,65,66.5,318.5590,,65,67.8,297.6400,,68,70.9,246.4970,,69,72.7,235.1090
integrator_arm7,,48,50.0,285.7000,,46,48.7,237.4030,,48,50.6,242.2660,,49,51.3,229.5690,,50,53.6,229.1640,,55,56.4,187.5820
integrator_arm9,,57,61.2,250.9390,,58,60.1,324.8720,,59,61.3,247.2330,,58,61.2,328.4170,,62,63.9,264.5690,,63,65.1,258.4960
ipaq,,44,46.6,267.4670,,45,46.6,214.2650,,44,46.3,260.7370,,47,48.8,223.4920,,48,50.8,194.2750,,52,53.4,151.2830
iq80310,,45,48.5,294.3320,,46,49.4,267.9990,,48,50.2,241.4190,,49,51.2,214.7760,,52,54.6,173.7090,,54,55.3,173.3060
iq80321,,47,48.8,332.6740,,48,50.0,226.4180,,47,49.2,290.5850,,49,50.5,272.2910,,52,54.5,173.7080,,56,56.8,159.9790
ixdp425,,49,50.3,219.0700,,47,49.3,242.8000,,48,49.5,239.2090,,49,50.8,227.6860,,51,53.1,216.0630,,53,55.8,161.3930
jmr3904,,43,45.7,220.1980,,45,46.4,173.4720,,45,47.2,185.3100,,46,48.1,161.5470,,49,50.2,180.5170,,51,53.6,137.8960
jtst,,44,46.4,267.5070,,44,45.8,277.8560,,45,46.8,226.7190,,47,49.1,192.4100,,48,50.5,193.4310,,50,53.0,200.9690
linux,,53,55.5,298.7590,,51,53.9,279.1990,,54,55.7,263.3500,,54,56.8,264.4500,,56,59.5,235.2000,,59,60.7,217.0250
lpcmt,,43,45.4,351.8210,,43,45.9,270.4730,,44,46.7,232.9300,,46,48.3,198.4330,,50,50.6,182.5140,,50,53.3,179.0480
m5272c3,,50,51.4,316.2610,,50,51.9,276.8600,,50,51.4,343.0160,,52,53.7,267.6890,,53,55.0,279.3000,,56,57.5,231.6940
mac7100evb,,43,45.1,318.0310,,43,45.0,236.6980,,44,45.9,254.8530,,46,49.1,182.4940,,48,49.8,185.6440,,50,52.5,161.6020
mace1,,44,44.9,287.7690,,44,45.7,261.9790,,44,46.6,237.6460,,45,47.6,249.9900,,48,51.0,177.0870,,51,52.5,194.8900
malta_mips32_4kc,,49,50.8,288.5380,,47,49.9,244.1610,,49,51.0,243.6780,,50,52.3,245.1510,,53,55.2,184.1770,,53,56.5,210.9350
malta_mips64_5kc,,48,49.8,336.4700,,47,49.0,299.8100,,47,49.7,266.4430,,50,52.0,261.3500,,52,53.5,232.6630,,54,56.2,204.3660
mb93091,,47,48.6,238.2030,,47,48.4,307.0120,,47,49.8,262.5700,,49,51.2,224.7640,,51,52.8,249.1620,,54,56.1,176.9130
mb93093,,47,48.9,287.6650,,46,48.7,299.0760,,48,50.2,249.6970,,49,51.2,228.3490,,52,53.2,225.7500,,54,56.1,176.3800
mbx,,47,50.7,254.1020,,48,49.8,292.3810,,50,50.9,253.9210,,50,52.6,218.1750,,52,53.7,228.5650,,55,56.5,189.2720
mcb2100,,42,45.3,309.0590,,44,45.0,253.8680,,44,46.2,266.6030,,46,47.6,229.4960,,48,50.4,182.8350,,52,53.3,160.4480
moab,,48,51.1,365.6210,,49,51.2,320.4540,,49,52.7,280.9350,,51,53.2,278.8930,,54,55.2,295.0130,,56,57.9,228.9730
mpc50,,43,45.9,254.3890,,43,45.0,253.2570,,44,46.4,202.3770,,46,48.3,171.0380,,47,49.9,174.4640,,51,52.7,145.7720
nano,,49,52.6,370.0650,,51,53.6,331.0430,,52,54.3,350.4890,,52,55.2,292.2660,,54,57.4,280.6740,,58,60.3,215.0710
npwr,,46,49.2,328.6250,,47,48.8,324.4070,,48,49.2,281.0590,,49,51.0,257.0470,,53,54.2,182.6770,,54,56.2,182.4390
ocelot,,49,49.7,298.9960,,48,49.0,328.4790,,48,50.9,242.2140,,48,51.3,281.3530,,52,54.0,200.3910,,54,56.2,202.3260
olpce2294,,47,51.3,251.6910,,48,49.7,314.2180,,49,50.2,310.4970,,51,52.0,273.8320,,53,54.8,201.9720,,54,55.9,244.0940
olpch2294,,43,46.9,280.1460,,44,45.9,277.4770,,44,46.3,283.0880,,46,48.3,259.8410,,50,50.6,208.3140,,50,52.4,199.0090
olpcl2294,,48,50.6,317.6050,,48,50.1,280.4750,,48,50.6,295.4230,,51,52.8,248.5580,,53,54.9,262.2210,,55,56.5,215.7810
p2106,,44,46.7,254.8310,,43,45.2,275.0970,,45,46.9,218.8810,,47,48.2,239.4780,,49,50.1,201.6840,,51,52.7,178.5930
pati,,43,45.6,297.0750,,43,44.7,298.1170,,44,45.9,274.0720,,46,48.7,226.1650,,50,50.5,180.2570,,52,53.3,148.1100
pc_i82544,,47,49.7,349.8370,,48,49.8,314.1760,,49,50.9,265.2110,,49,51.8,287.3810,,51,55.1,219.4370,,56,57.5,209.3200
pc_i82559,,48,49.5,370.5050,,47,49.4,316.9590,,48,51.2,317.4510,,50,52.4,256.2980,,52,54.8,231.7000,,54,56.7,208.2920
pc_rltk8139,,51,55.4,271.8580,,53,55.0,306.3100,,53,55.1,267.4660,,54,56.4,262.7040,,55,57.8,248.5680,,58,60.3,210.6040
pc_usb_d12,,46,47.4,316.8800,,45,47.1,278.8120,,46,47.4,292.2690,,49,49.8,228.1900,,50,50.9,234.3050,,52,53.3,194.6090
pc_vmWare,,48,50.0,278.6000,,46,49.3,348.9530,,49,49.8,299.0750,,50,51.8,228.5290,,53,53.9,276.5690,,53,55.8,236.5100
phycore,,44,46.6,346.4940,,43,45.4,325.8150,,45,46.7,273.9090,,47,49.1,215.8620,,50,51.4,185.6750,,51,53.1,204.4240
phycore229x,,47,50.7,313.7080,,48,49.7,313.9900,,49,51.0,322.1890,,49,52.1,269.1980,,51,54.0,270.2710,,55,56.7,242.6540
picasso,,48,49.9,265.0050,,46,48.1,280.7770,,49,50.4,236.0930,,50,52.1,190.8220,,50,53.0,241.2560,,53,54.8,194.9940
pid,,43,45.7,245.9600,,44,45.1,264.9550,,45,47.2,224.3300,,47,48.7,208.1240,,48,50.3,181.5360,,51,52.4,189.2960
prpmc1100,,43,44.9,272.8800,,43,45.8,268.1140,,46,46.5,220.1490,,46,47.8,202.9390,,49,49.8,202.2310,,51,53.4,148.9120
psim,,43,45.5,237.9850,,42,45.3,229.3210,,45,46.2,214.7260,,47,48.4,151.1290,,48,50.1,159.1580,,51,52.8,129.0220
rattler,,49,52.7,340.5930,,51,52.8,367.0990,,52,54.1,287.9610,,55,56.2,258.8680,,57,57.8,227.9960,,56,59.4,247.9750
ref4955,,45,46.6,203.2150,,44,44.8,265.1530,,45,47.0,212.9360,,45,47.8,224.2810,,49,50.7,174.6250,,51,52.7,159.1270
refidt334,,51,53.0,294.2770,,52,54.6,252.8090,,51,54.2,244.4130,,53,54.8,258.5710,,56,58.5,201.7740,,58,59.2,265.0360
sa1100mm,,44,46.2,269.6560,,44,45.2,249.7290,,44,46.7,224.3250,,45,48.4,201.3580,,49,50.3,184.9020,,51,52.6,189.2350
sam7ex256,,47,50.2,330.2940,,47,50.3,293.1680,,48,50.1,295.3050,,49,52.4,262.2670,,52,53.8,227.4470,,53,56.0,241.7530
se7751,,50,53.7,309.9150,,52,54.2,337.9600,,53,55.4,307.3770,,53,55.9,249.3480,,57,58.4,275.4280,,58,60.1,264.0090
sh4_202_md,,51,53.0,323.0850,,51,53.4,321.9950,,51,54.5,286.3690,,54,56.8,231.7680,,56,57.6,249.6930,,58,60.1,228.5920
sh7708,,55,58.3,355.9630,,56,57.9,399.5370,,55,57.8,377.6040,,59,60.2,286.7980,,59,61.7,293.6980,,61,63.1,287.0470
skmb91302,,44,45.9,244.6280,,44,45.6,224.3600,,44,45.9,275.7690,,47,49.0,182.6910,,49,50.7,162.9270,,50,52.4,167.2600
sleb,,42,45.2,221.0060,,43,44.5,229.7460,,44,45.7,216.1780,,46,48.3,157.4650,,47,49.2,181.7470,,51,52.8,144.5650
smdk2410,,57,60.9,474.9610,,58,59.9,392.7330,,57,59.9,403.0660,,59,60.7,405.2840,,60,62.6,340.7900,,63,65.0,317.1310
snds,,46,48.6,259.2030,,46,49.1,229.6430,,47,49.3,219.2650,,48,50.6,203.7150,,50,52.2,190.5630,,54,55.6,154.1980
sparc_erc32,,42,45.1,218.3410,,44,45.2,211.3140,,44,46.5,198.1700,,46,48.0,162.5110,,48,49.7,166.2570,,51,51.9,152.6700
sparc_leon,,43,45.0,218.2410,,44,45.1,208.7640,,44,45.8,178.8800,,46,47.6,186.7050,,47,48.9,178.0310,,52,52.9,147.9980
sparclite_sim,,42,45.7,246.6890,,42,44.5,251.0600,,45,46.6,191.6010,,45,47.7,187.4550,,49,50.0,160.5760,,51,52.4,156.9030
stb,,44,46.5,275.8780,,44,45.8,282.9080,,44,46.3,248.6240,,47,49.0,207.2190,,50,51.6,182.1400,,53,54.5,144.7670
stdeval1,,44,46.6,252.3880,,43,45.5,267.3310,,46,47.0,219.1290,,48,49.8,180.9000,,49,50.7,207.5850,,51,53.7,161.4780
stm3210e_eval,,44,46.0,345.4660,,44,45.6,302.8460,,46,46.8,239.7740,,47,48.5,222.3110,,49,50.4,217.8440,,52,53.2,185.0080
toybox,,11,11.0,1.6410,,13,13.4,1.5970,,12,12.0,2.2280,,12,12.0,2.0900,,12,12.0,2.2250,,12,12.0,2.2180
ts1000,,46,49.3,278.8430,,47,48.8,316.8890,,47,50.2,256.5800,,50,51.3,250.3740,,50,53.1,280.3790,,55,56.0,190.8110
ts6,,46,49.3,309.1980,,48,49.4,258.8280,,49,50.7,239.4350,,49,52.3,235.0430,,52,54.4,215.3260,,54,55.8,199.4280
tx39_sim,,43,46.2,189.1750,,41,44.5,216.0910,,43,46.5,182.3960,,44,47.5,194.2580,,49,50.1,160.8660,,50,52.7,138.9110
uClinux-config,,37,38.1,3503.1680,,36,37.6,3495.1810,,35,36.5,3485.0520,,34,35.5,3482.4290,,35,35.9,3244.7200,,38,38.8,2833.2030
uClinux,,12,12.0,35.9320,,13,13.0,29.7130,,12,12.0,34.3120,,13,13.0,29.6530,,13,13.6,25.4500,,13,13.6,25.9310
uE250,,46,48.8,334.3360,,47,49.1,267.4040,,47,49.2,292.7690,,48,50.5,282.0540,,51,54.1,183.4490,,53,56.2,168.2830
vads,,48,50.2,276.6840,,47,49.7,250.6450,,48,49.5,281.9350,,49,53.6,163.3860,,50,52.8,251.4450,,54,56.6,192.9750
viper,,46,49.3,345.2660,,48,49.9,299.6340,,47,50.3,292.2930,,50,51.8,243.2370,,51,54.1,202.5070,,54,56.3,188.7690
vrc4373,,44,46.1,266.4650,,44,45.7,230.7590,,45,46.5,247.5290,,48,48.6,207.2690,,48,50.7,198.8310,,52,53.4,159.2720
vrc4375,,47,49.3,343.6540,,48,49.8,257.7870,,48,50.5,282.8520,,50,52.4,222.0530,,50,54.1,211.1610,,55,56.8,168.9080
AVERAGE,,45.25,47.6548387096774,296.8395,,45.3951612903226,47.4,284.6446,,46.3145161290323,48.3,266.0563,,47.8709677419355,49.9225806451613,243.8448,,49.8387096774194,51.8637096774194,222.3472,,52.1370967741935,54.1,202.1468