Instances,,,CAmpactor (psi=0),,,,CAmpactor (psi=0.1),,,,CAmpactor (psi=0.2),,,,CAmpactor (psi=0.3),,,,CAmpactor (psi=0.4),,,,CAmpactor (psi=0.5),,,,CAmpactor (psi=0.6),,,,CAmpactor (psi=0.7),,,,CAmpactor (psi=0.8),,,,CAmpactor (psi=0.9),,,,CAmpactor (psi=1.0),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
E-shop,,23,27.7,0.5800,,17,17.0,0.7420,,16,16.9,0.7740,,16,16.7,0.9930,,16,16.8,0.7540,,17,17.0,0.6870,,16,16.9,0.8960,,17,17.0,0.6900,,17,17.0,0.7590,,17,17.0,0.7320,,16,16.9,0.9420
XSEngine,,97,102.2,35.2580,,48,49.7,277.4590,,46,48.2,337.9770,,47,48.5,366.8770,,47,47.9,469.6750,,45,47.7,495.7830,,44,47.2,627.3570,,45,47.1,707.8160,,45,48.0,576.4560,,46,47.2,964.3270,,45,46.9,1129.9020
aaed2000,,134,137.3,45.1570,,62,65.8,485.1290,,61,64.8,623.7600,,62,64.9,703.8080,,63,64.5,865.2220,,63,64.5,762.6870,,62,63.9,1037.1470,,60,63.2,1105.4440,,62,64.2,837.2050,,63,63.6,1456.4810,,63,64.2,1231.8330
adder,,99,102.5,34.1960,,48,49.4,196.0130,,47,49.2,284.8190,,47,48.1,489.8020,,45,47.5,518.8100,,46,47.6,642.6430,,47,48.5,496.0880,,47,48.4,574.6080,,46,47.3,568.9060,,47,48.0,438.0850,,45,46.4,628.7860
adderII,,93,101.8,36.0060,,47,49.2,304.2380,,46,48.5,361.5650,,46,48.7,392.6520,,46,48.2,405.8170,,46,47.8,586.5600,,46,47.8,595.9890,,46,47.4,753.0010,,44,47.2,654.1790,,45,47.1,924.5920,,46,47.7,733.8400
aeb,,93,99.5,32.4110,,44,46.4,243.9680,,44,45.2,309.4460,,44,45.2,326.1710,,44,45.0,465.3880,,43,44.4,548.2280,,44,45.2,486.9090,,43,44.7,719.0520,,44,44.6,533.4050,,42,44.2,770.2020,,43,44.4,842.9360
aim711,,100,105.2,36.4790,,47,49.1,217.3000,,47,48.3,339.0220,,48,48.3,433.9940,,45,47.9,522.9860,,45,47.8,549.0840,,46,47.7,539.2220,,46,47.1,792.9940,,45,47.7,558.1310,,46,47.6,572.4820,,45,47.1,788.2540
aki3068net,,98,104.0,31.6090,,47,48.5,235.3100,,48,48.7,281.3950,,47,47.9,457.7200,,44,47.0,545.3050,,44,46.9,585.2690,,45,47.3,531.1350,,44,46.5,682.7320,,45,47.4,564.1090,,44,47.0,751.6550,,45,47.2,765.0950
am31_sim,,88,92.9,31.5890,,43,44.6,218.5830,,43,44.5,270.8540,,42,43.5,352.0270,,43,44.1,340.4410,,42,43.1,389.0550,,42,44.0,410.6100,,41,43.2,582.6900,,42,43.6,434.7650,,42,43.5,619.7810,,41,43.7,544.0670
asb,,92,98.3,31.4900,,45,46.0,177.1670,,42,45.1,262.2170,,42,44.1,444.8800,,42,43.9,405.3960,,42,43.5,519.8260,,42,44.0,539.4430,,43,44.2,528.5350,,43,43.9,492.9080,,42,43.4,494.8010,,43,43.5,574.4150
asb2305,,93,97.6,31.2440,,44,45.8,247.5490,,43,45.3,271.8670,,43,44.3,418.1390,,43,44.3,407.8350,,43,44.0,497.2740,,42,43.9,513.7680,,41,43.7,532.2730,,43,43.7,713.5910,,43,43.8,766.1400,,43,44.3,647.8600
assabet,,94,100.6,32.7110,,44,46.3,264.5110,,44,45.2,313.3070,,42,44.4,466.1520,,43,44.3,462.3900,,42,43.8,528.7420,,43,45.2,516.2460,,43,44.1,540.0520,,42,43.4,869.3940,,41,43.8,793.0700,,43,44.2,840.7590
at91sam7sek,,92,98.5,35.1860,,44,45.5,241.3610,,43,45.2,347.7680,,43,44.5,437.1520,,43,44.6,504.9110,,44,44.3,572.0160,,43,43.9,673.3800,,43,44.1,622.0390,,43,43.3,784.9990,,43,44.3,481.4120,,44,44.0,485.6740
at91sam7xek,,98,103.5,40.5540,,46,49.0,312.2280,,46,48.6,377.1330,,46,47.9,471.2100,,46,47.5,691.7650,,46,47.1,702.0400,,45,47.5,722.2600,,46,47.9,677.3700,,46,47.7,927.7300,,46,47.8,713.6010,,47,47.2,777.5930
atlas_mips32_4kc,,101,104.3,31.1380,,47,49.6,207.9970,,45,48.0,347.4090,,46,48.2,393.3010,,47,47.7,443.2300,,45,47.7,533.7270,,46,47.5,570.9530,,45,47.5,503.2010,,45,46.8,704.7710,,45,47.3,630.1340,,45,47.4,624.7130
atlas_mips64_5kc,,97,101.5,30.7260,,48,50.2,174.7430,,46,47.9,371.0980,,45,47.6,378.1250,,46,47.2,493.8120,,46,47.5,559.4870,,46,47.9,527.0960,,45,47.4,533.8190,,46,47.6,541.4930,,46,47.3,747.9190,,46,47.2,853.6620
axtls,,31,33.0,0.0800,,27,27.1,0.2440,,27,27.0,0.1940,,27,27.0,0.1800,,27,27.0,0.1950,,27,27.0,0.1450,,27,27.0,0.1790,,27,27.0,0.1270,,27,27.0,0.1090,,27,27.0,0.1240,,27,27.0,0.1080
brutus,,88,94.8,31.9780,,43,45.2,233.1280,,43,44.6,291.6370,,42,44.0,344.9260,,42,44.0,399.1400,,42,43.9,500.7010,,42,43.5,554.2610,,42,43.6,677.2310,,42,44.0,557.0210,,43,43.3,654.7300,,42,43.1,763.1990
buildroot,,25,26.6,2.0360,,16,16.0,2.6260,,16,16.0,2.8280,,16,16.0,2.3800,,16,16.0,2.8310,,16,16.0,2.6520,,16,16.0,2.7620,,16,16.0,2.7930,,16,16.0,2.8060,,16,16.2,2.7520,,16,16.1,2.9230
busybox_1_28_0,,54,56.8,13.9340,,24,24.7,64.3160,,24,24.6,64.8970,,24,24.3,78.4940,,24,24.5,90.1520,,24,24.8,77.4040,,24,24.5,106.8910,,24,24.9,84.1020,,24,24.7,85.7810,,24,24.7,117.3990,,24,24.8,124.8930
calm16_ceb,,94,97.3,31.1270,,43,45.2,215.7040,,43,44.9,250.6640,,41,44.0,359.5010,,43,44.8,317.1410,,42,43.3,498.8450,,42,44.0,403.7220,,41,43.3,544.3650,,43,43.7,576.5460,,42,43.6,549.5600,,42,43.5,741.8550
calm32_ceb,,88,96.5,31.1240,,44,45.5,196.4030,,43,44.3,298.6170,,42,44.3,303.0500,,43,44.0,436.7580,,42,43.9,480.0060,,41,43.3,419.9580,,42,43.7,479.7110,,42,43.5,611.9010,,42,43.7,544.7140,,41,43.4,754.1070
ceb_v850,,90,96.3,29.0910,,44,46.0,190.2020,,42,43.7,341.9220,,42,43.5,361.5640,,43,44.0,391.6330,,41,43.6,471.8470,,43,43.8,458.9180,,42,43.6,530.3640,,42,44.0,553.6730,,42,43.7,638.4530,,41,43.3,693.3830
cerf,,96,106.3,35.6260,,47,50.7,280.9230,,48,49.8,334.1090,,47,49.0,491.6060,,47,48.7,485.5950,,47,49.0,463.0090,,46,48.1,693.8680,,47,48.4,720.0390,,46,47.9,846.0820,,45,48.0,911.7280,,46,48.3,829.3020
cerfpda,,99,105.4,35.2100,,47,50.7,255.7110,,46,48.5,413.6590,,46,48.2,557.2680,,46,48.9,492.9240,,46,48.8,597.6700,,46,47.9,621.8270,,46,47.8,718.2250,,46,47.9,805.3040,,47,48.4,616.2220,,46,47.5,826.7570
cma230,,89,95.0,32.6390,,42,44.8,273.2010,,42,44.5,329.5260,,43,44.1,398.7490,,43,44.5,379.5240,,43,44.0,443.2030,,42,43.4,540.7770,,42,43.2,701.2570,,42,43.1,638.2800,,40,42.9,746.5270,,42,43.4,767.5950
cma28x,,89,93.4,31.5400,,43,45.5,222.3280,,44,44.6,281.7530,,43,44.2,267.2400,,41,43.2,446.0010,,42,43.6,397.8310,,42,43.4,459.7750,,42,43.3,607.2230,,42,43.1,606.8850,,41,42.7,788.8960,,41,43.1,728.5730
cme555,,87,96.5,34.4510,,44,46.2,223.8710,,44,45.3,277.8380,,43,44.5,364.7680,,43,44.0,446.3720,,42,44.3,449.0650,,42,43.6,562.0160,,42,43.9,544.0640,,42,43.3,649.9170,,43,43.6,768.6110,,42,43.5,651.7660
cq7708,,109,116.3,38.8030,,54,58.0,341.0840,,55,56.7,489.3560,,53,55.9,597.8590,,53,54.9,686.3050,,55,56.5,568.7210,,53,54.4,958.1180,,54,54.8,842.2980,,53,55.1,869.6670,,53,54.3,1160.3420,,53,54.5,1253.1510
cq7750,,96,100.0,33.9690,,44,46.6,241.9970,,45,46.1,315.9360,,45,46.1,341.7100,,44,45.5,477.8590,,43,45.1,546.0340,,44,45.6,650.1270,,43,44.5,653.5850,,43,44.8,680.5230,,43,44.8,742.7920,,44,44.9,846.1090
csb281,,101,107.5,36.0560,,52,53.4,283.4080,,49,52.2,313.5100,,50,52.0,329.8680,,50,52.3,289.8700,,48,50.7,647.4460,,50,51.4,517.4890,,50,51.5,538.7860,,50,51.2,594.9750,,50,51.5,650.1950,,50,51.1,811.2350
dreamcast,,100,107.7,37.8130,,50,53.2,273.9140,,49,52.2,373.2680,,50,50.7,554.5260,,49,50.9,616.0710,,48,50.7,657.7090,,49,51.0,579.9360,,49,50.5,698.2690,,49,50.2,840.8970,,48,50.4,861.4240,,48,50.3,838.4030
e7t,,101,105.0,35.2940,,48,50.1,247.0220,,47,48.6,327.3260,,46,47.4,443.8060,,46,48.2,442.0090,,46,47.5,481.5380,,45,47.6,575.7010,,44,46.3,867.9290,,47,48.1,538.4570,,46,47.6,599.2780,,44,47.1,846.7260
ea2468,,101,104.4,46.1240,,47,49.2,313.5180,,47,48.9,460.9370,,45,47.9,596.6130,,46,47.7,628.1630,,46,48.2,698.2590,,45,47.5,788.3330,,45,47.1,896.4390,,45,47.5,892.4190,,46,47.1,916.9840,,46,47.1,1021.1700
eb40,,92,97.3,36.4090,,44,46.0,242.0950,,43,45.0,307.3140,,43,45.3,330.7600,,43,44.7,388.0710,,43,44.2,457.4870,,42,44.3,475.4470,,42,43.8,703.2900,,43,44.5,505.5550,,42,43.8,622.2540,,42,43.5,834.1560
eb40a,,91,96.1,39.8270,,45,46.4,226.7000,,44,45.3,321.7520,,43,44.6,318.9030,,42,44.0,576.4710,,43,43.8,578.2440,,43,44.6,514.1980,,41,43.6,630.0980,,42,43.5,908.2360,,42,43.6,748.1020,,42,43.2,896.0640
eb42,,91,95.5,33.5190,,44,45.4,282.7950,,43,45.2,299.6770,,42,44.1,401.8170,,43,43.9,436.0250,,42,43.8,437.3050,,42,43.4,656.7200,,43,44.0,585.2110,,42,43.3,598.7520,,42,43.7,687.3990,,41,43.8,654.1790
eb55,,93,98.4,34.2400,,44,45.3,261.9990,,43,44.9,325.2060,,43,44.8,364.2370,,43,44.1,497.3560,,43,44.3,506.2530,,42,44.1,465.6880,,43,44.2,674.8990,,43,44.4,691.0000,,41,43.6,728.5020,,42,43.8,799.1950
ebsa285,,103,107.7,38.3010,,51,53.3,321.0250,,51,52.4,408.6840,,50,52.1,437.6330,,50,52.1,500.0070,,50,51.7,622.8000,,50,51.9,760.1580,,49,51.3,783.7190,,46,51.7,755.0300,,50,51.7,679.4070,,49,51.3,810.9710
ec555,,94,98.1,31.2090,,42,45.2,224.0940,,43,44.5,346.8440,,43,44.6,344.7740,,42,44.1,406.0280,,42,43.5,616.9310,,42,44.3,490.3920,,42,44.0,528.6710,,42,43.7,615.1690,,43,43.6,833.0920,,43,44.1,650.5840
ecos-icse11,,97,102.1,37.4250,,47,48.7,242.8210,,46,48.5,270.2880,,46,47.4,458.2200,,46,47.1,381.6530,,45,47.0,426.0710,,47,47.7,427.4740,,45,46.5,586.1820,,46,47.1,573.8130,,45,47.3,591.2400,,46,47.4,625.7170
edb7xxx,,98,102.3,36.0570,,48,50.4,266.5050,,47,49.2,341.1110,,45,47.7,433.5140,,46,47.4,551.9310,,46,47.5,575.3710,,46,48.0,628.1970,,45,47.9,510.4800,,47,47.7,974.7280,,46,47.7,743.5610,,46,47.5,735.3800
edosk2674,,92,99.8,33.6010,,46,48.9,224.4370,,46,48.4,314.0130,,47,47.7,359.0240,,44,47.3,469.0910,,45,47.0,508.4460,,46,47.1,461.1510,,45,46.5,659.8720,,45,47.0,539.2680,,45,46.7,703.1810,,46,46.8,687.1130
excalibur_arm9,,111,116.9,44.6010,,56,57.5,378.2180,,55,56.7,512.8890,,54,55.7,650.7940,,55,56.1,523.5130,,54,55.1,946.9280,,55,55.6,845.2250,,54,55.0,1037.1560,,53,55.4,1039.4510,,54,54.6,1364.7550,,54,54.7,1500.6790
fads,,90,94.0,35.3340,,42,45.0,215.9850,,42,44.0,301.3110,,41,43.6,389.9410,,42,43.9,395.3330,,43,43.7,419.7390,,43,43.5,458.4980,,42,43.6,466.2330,,43,43.3,548.7200,,42,43.7,544.9220,,42,43.3,619.1400
flexanet,,101,106.4,35.9910,,49,50.4,280.5210,,47,49.8,318.8050,,47,48.8,459.9070,,45,48.2,522.4680,,47,48.1,652.8170,,47,48.5,629.0130,,46,47.5,828.3910,,46,47.9,783.4890,,46,48.3,882.5690,,46,48.2,942.2060
freebsd-icse11,,107,114.5,45.8040,,53,56.2,354.4020,,51,53.5,439.2410,,48,51.8,523.8980,,50,52.7,509.9890,,49,51.3,829.9110,,49,51.5,884.8830,,48,51.2,847.4940,,47,50.5,1209.0460,,49,51.5,927.7150,,48,50.6,1014.6750
frv400,,95,101.8,35.2270,,47,48.9,203.5680,,45,48.1,298.1520,,46,48.1,348.5630,,46,47.2,521.6750,,44,47.1,622.9720,,46,46.8,755.6880,,45,46.8,655.9280,,46,47.7,571.2370,,45,46.8,760.4270,,45,46.9,748.8750
gps4020,,88,95.6,37.5810,,44,46.3,222.0880,,44,44.6,258.9950,,42,44.3,379.7150,,42,44.0,399.1100,,42,43.8,462.8700,,43,43.9,432.1870,,42,43.7,550.7700,,43,43.7,550.7540,,43,43.7,630.3300,,42,43.6,573.3770
grg,,95,101.8,33.2970,,47,49.0,236.8630,,46,47.8,317.0860,,46,47.4,451.4570,,46,46.8,559.6850,,44,48.0,384.4440,,45,47.4,602.5040,,44,46.8,691.2770,,44,46.9,800.1740,,46,46.7,841.4690,,45,47.3,837.8790
h8300h_sim,,90,95.1,35.2830,,43,44.6,203.3320,,42,44.1,286.2490,,42,43.7,289.5670,,41,43.4,360.7750,,42,43.4,442.0200,,43,43.9,438.2430,,43,43.7,433.5230,,41,42.8,608.0450,,43,43.8,462.9810,,42,43.3,677.7060
h8max,,97,101.9,32.7350,,48,49.8,228.8210,,47,48.5,342.0040,,46,47.8,422.5850,,46,48.1,461.2550,,45,47.5,486.3080,,47,47.8,493.1090,,45,47.0,622.5310,,45,47.6,535.5100,,45,46.5,818.0680,,46,47.2,713.5450
h8s_sim,,89,91.7,35.6730,,44,45.4,212.5320,,42,44.0,277.9990,,43,44.3,354.3570,,42,43.7,378.5130,,42,43.5,447.5950,,42,43.6,460.4450,,42,43.2,666.4450,,41,42.9,627.0070,,42,43.3,582.7120,,42,43.5,607.9220
hs7729pci,,127,132.0,50.1570,,62,64.4,439.1580,,62,64.0,590.3370,,61,62.8,828.8770,,61,63.2,856.6710,,62,63.1,814.8840,,60,63.0,1015.3080,,61,62.4,1252.1300,,60,62.1,1135.6000,,60,62.0,1507.2880,,61,62.5,1440.1540
innovator,,125,133.0,44.7300,,64,67.3,413.5840,,62,65.0,407.4450,,61,64.4,565.9390,,61,64.3,543.2410,,61,62.8,760.8410,,62,63.6,833.1120,,61,62.8,1094.4530,,62,63.8,964.2430,,61,63.5,907.2180,,60,63.9,793.3550
integrator_arm7,,98,103.2,37.4330,,46,48.7,237.4030,,46,48.1,320.7560,,46,48.1,476.9640,,46,47.6,592.1850,,46,48.0,419.0740,,47,47.4,619.9230,,46,47.2,532.3300,,47,48.2,588.4580,,46,47.4,790.1870,,44,47.5,986.0930
integrator_arm9,,115,117.4,37.8410,,58,60.1,324.8720,,58,59.8,419.0780,,57,58.8,570.0550,,57,58.6,598.2170,,56,58.5,695.9460,,57,58.2,848.7850,,57,58.6,801.5330,,56,58.1,795.2890,,56,58.2,944.9420,,57,58.2,1104.6250
ipaq,,93,98.4,43.9290,,45,46.6,214.2650,,43,44.4,397.1710,,43,44.7,402.2370,,43,44.5,384.2140,,43,43.9,645.7060,,42,44.2,573.2140,,41,43.5,720.2620,,42,43.7,721.7030,,42,43.8,745.9640,,43,43.9,748.0500
iq80310,,96,100.9,36.3530,,46,49.4,267.9990,,46,48.1,408.1940,,45,47.6,480.0780,,46,48.2,479.3160,,46,47.7,545.4900,,46,47.5,514.7740,,46,47.4,553.4620,,45,47.3,616.2520,,46,47.1,725.9430,,45,46.6,859.5810
iq80321,,98,101.2,32.5620,,48,50.0,226.4180,,46,48.1,354.3150,,47,48.9,362.7410,,46,47.5,487.9470,,46,47.0,685.7390,,45,47.1,651.7070,,45,47.4,603.2030,,45,46.4,791.7130,,45,47.5,765.6020,,46,46.9,862.0390
ixdp425,,99,102.3,32.0710,,47,49.3,242.8000,,46,48.3,308.4200,,47,48.5,340.5690,,45,47.4,406.3140,,45,46.9,569.1800,,45,46.8,545.3120,,45,46.5,668.1540,,45,47.2,681.8100,,45,46.5,666.5160,,44,46.3,1033.0410
